SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³),IAQI1,IAQI2,IAQI3,IAQI4,IAQI5,IAQI6,AQI
6,25,38,20,54,0.7,44.0,19.0,12.0,21.0,23.0,32.0,44.0
5,21,40,20,84,0.7,45.0,24.0,10.0,21.0,8.0,32.0,45.0
3,16,36,17,81,0.7,47.0,30.0,14.0,26.0,10.0,32.0,47.0
7,14,36,17,100,0.6,43.0,32.0,14.0,26.0,100.0,35.0,100.0
5,12,35,16,100,0.6,45.0,35.0,15.0,27.0,100.0,35.0,100.0
4,25,32,14,118,0.7,46.0,19.0,18.0,30.0,85.0,32.0,85.0
4,40,44,29,80,0.8,46.0,100.0,6.0,9.0,10.0,30.0,100.0
7,30,45,33,128,0.8,43.0,12.0,5.0,3.0,77.0,30.0,77.0
6,43,37,29,54,0.9,44.0,96.0,13.0,9.0,23.0,28.0,96.0
4,28,29,14,48,0.6,46.0,15.0,21.0,30.0,26.0,35.0,46.0
4,23,18,7,71,0.6,46.0,21.0,32.0,40.0,14.0,35.0,46.0
7,30,20,8,78,0.6,43.0,12.0,30.0,39.0,11.0,35.0,43.0
7,42,25,12,87,0.6,43.0,98.0,25.0,33.0,6.0,35.0,98.0
4,46,25,17,41,0.6,46.0,92.0,25.0,26.0,30.0,35.0,92.0
5,40,31,16,67,0.5,45.0,100.0,19.0,27.0,16.0,38.0,100.0
5,49,36,19,72,0.6,45.0,89.0,14.0,23.0,14.0,35.0,89.0
4,34,23,13,76,0.6,46.0,8.0,27.0,31.0,12.0,35.0,46.0
5,30,24,10,54,0.6,45.0,12.0,26.0,36.0,23.0,35.0,45.0
4,30,23,11,97,0.7,46.0,12.0,27.0,34.0,2.0,32.0,46.0
3,37,26,11,70,0.7,47.0,4.0,24.0,34.0,15.0,32.0,47.0
4,31,31,13,43,0.6,46.0,11.0,19.0,31.0,28.0,35.0,46.0
3,19,23,8,64,0.5,47.0,26.0,27.0,39.0,18.0,38.0,47.0
4,10,16,4,70,0.5,46.0,38.0,34.0,44.0,15.0,38.0,46.0
4,11,17,4,67,0.4,46.0,36.0,33.0,44.0,16.0,40.0,46.0
5,13,20,4,58,0.5,45.0,34.0,30.0,44.0,21.0,38.0,45.0
2,21,21,6,70,0.5,48.0,24.0,29.0,41.0,15.0,38.0,48.0
4,49,24,14,54,0.7,46.0,89.0,26.0,30.0,23.0,32.0,89.0
6,47,28,15,94,0.6,44.0,91.0,22.0,29.0,3.0,35.0,91.0
5,31,26,11,108,0.7,45.0,11.0,24.0,34.0,93.0,32.0,93.0
4,36,30,14,180,0.7,46.0,5.0,20.0,30.0,132.0,32.0,132.0
8,38,41,22,208,0.7,42.0,2.0,9.0,19.0,106.0,32.0,106.0
5,24,36,17,148,0.6,45.0,20.0,14.0,26.0,60.0,35.0,60.0
4,25,30,13,119,0.6,46.0,19.0,20.0,31.0,84.0,35.0,84.0
4,24,24,8,84,0.8,46.0,20.0,26.0,39.0,8.0,30.0,46.0
4,16,19,5,55,0.7,46.0,30.0,31.0,43.0,22.0,32.0,46.0
4,15,21,6,75,0.7,46.0,31.0,29.0,41.0,12.0,32.0,46.0
4,14,24,6,71,0.6,46.0,32.0,26.0,41.0,14.0,35.0,46.0
3,24,27,6,54,0.6,47.0,20.0,23.0,41.0,23.0,35.0,47.0
4,41,22,9,24,0.8,46.0,99.0,28.0,37.0,38.0,30.0,99.0
10,35,29,16,113,0.8,40.0,6.0,21.0,27.0,89.0,30.0,89.0
14,44,36,20,90,1.0,36.0,95.0,14.0,21.0,5.0,25.0,95.0
10,25,31,14,87,0.8,40.0,19.0,19.0,30.0,6.0,30.0,40.0
8,23,32,12,112,0.7,42.0,21.0,18.0,33.0,90.0,32.0,90.0
8,19,30,11,117,0.7,42.0,26.0,20.0,34.0,86.0,32.0,86.0
7,33,34,13,96,0.8,43.0,9.0,16.0,31.0,2.0,30.0,43.0
6,37,31,14,150,0.7,44.0,4.0,19.0,30.0,58.0,32.0,58.0
6,33,29,10,128,0.6,44.0,9.0,21.0,36.0,77.0,35.0,77.0
4,30,14,4,32,0.6,46.0,12.0,36.0,44.0,34.0,35.0,46.0
5,21,24,9,59,0.7,45.0,24.0,26.0,37.0,20.0,32.0,45.0
6,18,27,9,92,0.6,44.0,28.0,23.0,37.0,4.0,35.0,44.0
7,16,26,9,99,0.6,43.0,30.0,24.0,37.0,0.0,35.0,43.0
6,10,25,9,77,0.6,44.0,38.0,25.0,37.0,12.0,35.0,44.0
6,11,29,10,68,0.6,44.0,36.0,21.0,36.0,16.0,35.0,44.0
7,16,34,13,71,0.6,43.0,30.0,16.0,31.0,14.0,35.0,43.0
5,37,17,10,28,0.8,45.0,4.0,33.0,36.0,36.0,30.0,45.0
6,46,37,21,88,0.9,44.0,92.0,13.0,20.0,6.0,28.0,92.0
6,19,32,15,60,0.7,44.0,26.0,18.0,29.0,20.0,32.0,44.0
7,14,34,15,72,0.6,43.0,32.0,16.0,29.0,14.0,35.0,43.0
6,17,31,16,74,0.7,44.0,29.0,19.0,27.0,13.0,32.0,44.0
6,17,38,19,102,0.7,44.0,29.0,12.0,23.0,98.0,32.0,98.0
6,21,41,22,150,0.7,44.0,24.0,9.0,19.0,58.0,32.0,58.0
11,32,53,36,173,0.9,39.0,10.0,98.0,99.0,138.0,28.0,138.0
7,39,42,25,70,1.0,43.0,1.0,8.0,14.0,15.0,25.0,43.0
6,44,42,24,93,1.0,44.0,95.0,8.0,16.0,4.0,25.0,95.0
5,32,30,19,58,0.9,45.0,10.0,20.0,23.0,21.0,28.0,45.0
6,43,38,22,84,1.0,44.0,96.0,12.0,19.0,8.0,25.0,96.0
4,40,28,15,57,0.9,46.0,100.0,22.0,29.0,22.0,28.0,100.0
3,34,27,12,49,0.9,47.0,8.0,23.0,33.0,26.0,28.0,47.0
4,23,27,11,90,0.8,46.0,21.0,23.0,34.0,5.0,30.0,46.0
7,23,30,13,107,0.8,43.0,21.0,20.0,31.0,94.0,30.0,94.0
5,18,26,11,105,0.8,45.0,28.0,24.0,34.0,96.0,30.0,96.0
6,22,26,11,60,0.8,44.0,22.0,24.0,34.0,20.0,30.0,44.0
5,34,25,13,107,0.8,45.0,8.0,25.0,31.0,94.0,30.0,94.0
4,25,18,4,25,0.8,46.0,19.0,32.0,44.0,38.0,30.0,46.0
2,21,10,2,30,0.8,48.0,24.0,40.0,47.0,35.0,30.0,48.0
3,25,16,5,40,0.9,47.0,19.0,34.0,43.0,30.0,28.0,47.0
4,33,23,7,78,0.9,46.0,9.0,27.0,40.0,11.0,28.0,46.0
6,34,40,20,185,1.0,44.0,8.0,10.0,21.0,127.0,25.0,127.0
7,40,48,27,246,0.9,43.0,100.0,2.0,11.0,169.0,28.0,169.0
9,37,37,19,142,0.8,41.0,4.0,13.0,23.0,65.0,30.0,65.0
7,36,45,28,236,0.8,43.0,5.0,5.0,10.0,179.0,30.0,179.0
8,31,48,30,228,0.8,42.0,11.0,2.0,7.0,187.0,30.0,187.0
10,30,54,34,202,0.8,40.0,12.0,98.0,1.0,112.0,30.0,112.0
6,22,44,30,153,0.8,44.0,22.0,6.0,7.0,56.0,30.0,56.0
7,14,32,20,134,0.7,43.0,32.0,18.0,21.0,72.0,32.0,72.0
9,21,33,16,138,0.7,41.0,24.0,17.0,27.0,68.0,32.0,68.0
8,19,33,16,140,0.7,42.0,26.0,17.0,27.0,67.0,32.0,67.0
9,22,40,20,182,0.7,41.0,22.0,10.0,21.0,130.0,32.0,130.0
9,27,28,17,127,0.8,41.0,16.0,22.0,26.0,78.0,30.0,78.0
7,27,32,14,146,0.8,43.0,16.0,18.0,30.0,62.0,30.0,62.0
9,36,32,23,87,0.8,41.0,5.0,18.0,17.0,6.0,30.0,41.0
12,27,24,9,64,0.7,38.0,16.0,26.0,37.0,18.0,32.0,38.0
6,38,41,26,132,0.9,44.0,2.0,9.0,13.0,73.0,28.0,73.0
6,32,42,31,186,0.8,44.0,10.0,8.0,6.0,126.0,30.0,126.0
6,22,45,29,252,0.8,44.0,22.0,5.0,9.0,163.0,30.0,163.0
8,23,45,28,221,0.7,42.0,21.0,5.0,10.0,194.0,32.0,194.0
8,35,50,31,169,0.7,42.0,6.0,100.0,6.0,142.0,32.0,142.0
11,45,69,47,198,0.8,39.0,94.0,90.0,85.0,115.0,30.0,115.0
9,27,50,39,70,0.8,41.0,16.0,100.0,95.0,15.0,30.0,100.0
5,24,20,14,60,0.6,45.0,20.0,30.0,30.0,20.0,35.0,45.0
6,32,42,20,170,0.6,44.0,10.0,8.0,21.0,141.0,35.0,141.0
6,22,27,12,73,0.5,44.0,22.0,23.0,33.0,14.0,38.0,44.0
5,22,20,6,56,0.5,45.0,22.0,30.0,41.0,22.0,38.0,45.0
6,34,28,12,86,0.6,44.0,8.0,22.0,33.0,7.0,35.0,44.0
7,26,27,10,86,0.6,43.0,18.0,23.0,36.0,7.0,35.0,43.0
6,25,20,6,35,0.6,44.0,19.0,30.0,41.0,32.0,35.0,44.0
6,25,26,10,89,0.6,44.0,19.0,24.0,36.0,6.0,35.0,44.0
6,28,28,14,72,0.6,44.0,15.0,22.0,30.0,14.0,35.0,44.0
7,28,26,12,95,0.6,43.0,15.0,24.0,33.0,2.0,35.0,43.0
7,27,37,19,184,0.7,43.0,16.0,13.0,23.0,128.0,32.0,128.0
8,31,52,35,255,0.8,42.0,11.0,99.0,100.0,160.0,30.0,160.0
11,21,49,36,168,0.8,39.0,24.0,1.0,99.0,143.0,30.0,143.0
9,21,44,34,141,0.8,41.0,24.0,6.0,1.0,66.0,30.0,66.0
5,16,24,11,104,0.5,45.0,30.0,26.0,34.0,97.0,38.0,97.0
6,22,33,16,173,0.6,44.0,22.0,17.0,27.0,138.0,35.0,138.0
7,26,41,29,242,0.7,43.0,18.0,9.0,9.0,173.0,32.0,173.0
8,9,31,19,155,0.6,42.0,39.0,19.0,23.0,54.0,35.0,54.0
7,18,27,15,92,0.6,43.0,28.0,23.0,29.0,4.0,35.0,43.0
7,28,46,28,214,0.7,43.0,15.0,4.0,10.0,101.0,32.0,101.0
7,26,39,29,189,0.7,43.0,18.0,11.0,9.0,124.0,32.0,124.0
5,21,29,22,168,0.7,45.0,24.0,21.0,19.0,143.0,32.0,143.0
6,33,52,35,184,0.8,44.0,9.0,99.0,100.0,128.0,30.0,128.0
8,27,56,33,193,0.7,42.0,16.0,97.0,3.0,120.0,32.0,120.0
9,36,54,26,188,0.6,41.0,5.0,98.0,13.0,125.0,35.0,125.0
12,27,68,36,204,0.7,38.0,16.0,91.0,99.0,110.0,32.0,110.0
10,21,50,22,169,0.5,40.0,24.0,100.0,19.0,142.0,38.0,142.0
10,36,53,22,178,0.5,40.0,5.0,98.0,19.0,134.0,38.0,134.0
11,64,61,29,181,0.7,39.0,70.0,94.0,9.0,131.0,32.0,131.0
13,40,72,44,218,0.9,37.0,100.0,89.0,89.0,197.0,28.0,197.0
14,32,79,53,259,1.0,36.0,10.0,86.0,78.0,156.0,25.0,156.0
14,46,78,53,228,1.0,36.0,92.0,86.0,78.0,187.0,25.0,187.0
16,57,97,65,211,1.1,34.0,79.0,76.0,62.0,104.0,22.0,104.0
17,46,90,66,226,1.2,33.0,92.0,80.0,61.0,189.0,20.0,189.0
20,71,90,56,242,1.1,30.0,61.0,80.0,74.0,173.0,22.0,173.0
15,41,79,54,218,1.0,35.0,99.0,86.0,76.0,197.0,25.0,197.0
8,11,74,51,192,0.9,42.0,36.0,88.0,80.0,121.0,28.0,121.0
8,9,46,32,153,0.8,42.0,39.0,4.0,4.0,56.0,30.0,56.0
8,10,40,26,156,0.7,42.0,38.0,10.0,13.0,53.0,32.0,53.0
9,25,47,29,182,0.8,41.0,19.0,3.0,9.0,130.0,30.0,130.0
7,24,41,23,149,0.7,43.0,20.0,9.0,17.0,59.0,32.0,59.0
8,36,44,26,106,0.8,42.0,5.0,6.0,13.0,95.0,30.0,95.0
10,46,74,58,187,1.1,40.0,92.0,88.0,71.0,125.0,22.0,125.0
6,22,49,34,187,0.9,44.0,22.0,1.0,1.0,125.0,28.0,125.0
9,27,54,37,212,0.9,41.0,16.0,98.0,98.0,103.0,28.0,103.0
11,27,69,44,238,1.0,39.0,16.0,90.0,89.0,177.0,25.0,177.0
9,31,47,38,104,1.0,41.0,11.0,3.0,96.0,97.0,25.0,97.0
8,30,58,42,99,1.1,42.0,12.0,96.0,91.0,0.0,22.0,96.0
7,28,50,33,136,1.0,43.0,15.0,100.0,3.0,70.0,25.0,100.0
8,32,51,31,157,0.7,42.0,10.0,100.0,6.0,52.0,32.0,100.0
11,36,51,30,149,0.7,39.0,5.0,100.0,7.0,59.0,32.0,100.0
12,38,58,32,163,0.8,38.0,2.0,96.0,4.0,147.0,30.0,147.0
11,44,63,38,200,0.8,39.0,95.0,94.0,96.0,114.0,30.0,114.0
13,45,76,51,198,0.9,37.0,94.0,87.0,80.0,115.0,28.0,115.0
11,27,71,50,243,0.8,39.0,16.0,90.0,81.0,172.0,30.0,172.0
7,26,54,32,177,0.7,43.0,18.0,98.0,4.0,135.0,32.0,135.0
7,35,53,30,190,0.7,43.0,6.0,98.0,7.0,123.0,32.0,123.0
9,38,68,46,171,0.8,41.0,2.0,91.0,86.0,140.0,30.0,140.0
9,37,65,43,209,0.8,41.0,4.0,92.0,90.0,105.0,30.0,105.0
9,32,74,45,156,1.0,41.0,10.0,88.0,88.0,53.0,25.0,88.0
10,47,59,30,32,1.1,40.0,91.0,96.0,7.0,34.0,22.0,96.0
8,38,38,14,113,0.9,42.0,2.0,12.0,30.0,89.0,28.0,89.0
9,44,66,26,106,0.8,41.0,95.0,92.0,13.0,95.0,30.0,95.0
11,57,97,36,112,0.8,39.0,79.0,76.0,99.0,90.0,30.0,99.0
17,75,106,50,180,1.1,33.0,56.0,72.0,81.0,132.0,22.0,132.0
13,59,105,62,262,1.1,37.0,76.0,72.0,66.0,153.0,22.0,153.0
14,42,89,47,167,1.0,36.0,98.0,80.0,85.0,144.0,25.0,144.0
13,25,81,42,180,0.9,37.0,19.0,84.0,91.0,132.0,28.0,132.0
13,37,83,45,150,0.8,37.0,4.0,84.0,88.0,58.0,30.0,88.0
13,72,80,44,158,0.9,37.0,60.0,85.0,89.0,52.0,28.0,89.0
13,50,73,38,148,0.8,37.0,88.0,88.0,96.0,60.0,30.0,96.0
12,42,59,30,133,0.6,38.0,98.0,96.0,7.0,72.0,35.0,98.0
14,63,69,36,156,0.6,36.0,71.0,90.0,99.0,53.0,35.0,99.0
17,75,89,50,158,0.8,33.0,56.0,80.0,81.0,52.0,30.0,81.0
15,77,105,63,200,1.0,35.0,54.0,72.0,65.0,114.0,25.0,114.0
7,42,63,34,112,0.6,43.0,98.0,94.0,1.0,90.0,35.0,98.0
8,46,80,45,194,0.8,42.0,92.0,85.0,88.0,119.0,30.0,119.0
7,35,69,39,152,0.8,43.0,6.0,90.0,95.0,57.0,30.0,95.0
10,85,118,72,189,1.1,40.0,148.0,66.0,54.0,124.0,22.0,148.0
7,52,82,42,152,0.7,43.0,85.0,84.0,91.0,57.0,32.0,91.0
8,53,73,36,156,0.7,42.0,84.0,88.0,99.0,53.0,32.0,99.0
8,41,80,39,121,0.9,42.0,99.0,85.0,95.0,82.0,28.0,99.0
6,29,40,19,128,0.9,44.0,14.0,10.0,23.0,77.0,28.0,77.0
9,50,68,32,111,1.0,41.0,88.0,91.0,4.0,91.0,25.0,91.0
13,74,91,44,133,1.0,37.0,58.0,80.0,89.0,72.0,25.0,89.0
12,96,102,53,130,0.9,38.0,142.0,74.0,78.0,75.0,28.0,142.0
11,66,100,58,207,0.9,39.0,68.0,75.0,71.0,107.0,28.0,107.0
10,65,80,46,178,0.9,40.0,69.0,85.0,86.0,134.0,28.0,134.0
12,71,115,74,169,1.1,38.0,61.0,68.0,51.0,142.0,22.0,142.0
12,53,84,48,112,1.1,38.0,84.0,83.0,84.0,90.0,22.0,90.0
17,60,94,49,138,1.0,33.0,75.0,78.0,82.0,68.0,25.0,82.0
9,30,38,12,68,0.9,41.0,12.0,12.0,33.0,16.0,28.0,41.0
9,41,44,18,74,0.8,41.0,99.0,6.0,24.0,13.0,30.0,99.0
13,57,68,35,150,1.0,37.0,79.0,91.0,100.0,58.0,25.0,100.0
15,56,77,37,97,1.0,35.0,80.0,86.0,98.0,2.0,25.0,98.0
10,25,40,16,82,0.8,40.0,19.0,10.0,27.0,9.0,30.0,40.0
10,41,54,28,100,0.7,40.0,99.0,98.0,10.0,100.0,32.0,100.0
11,47,60,30,99,0.7,39.0,91.0,95.0,7.0,0.0,32.0,95.0
12,44,54,24,72,0.6,38.0,95.0,98.0,16.0,14.0,35.0,98.0
12,33,58,27,107,0.6,38.0,9.0,96.0,11.0,94.0,35.0,96.0
11,41,51,30,96,0.7,39.0,99.0,100.0,7.0,2.0,32.0,100.0
15,86,88,45,63,0.8,35.0,147.0,81.0,88.0,18.0,30.0,147.0
16,111,116,66,70,1.1,34.0,134.0,67.0,61.0,15.0,22.0,134.0
18,113,120,76,134,1.2,32.0,134.0,65.0,149.0,72.0,20.0,149.0
15,87,98,60,135,1.1,35.0,146.0,76.0,69.0,71.0,22.0,146.0
14,97,131,75,194,1.3,36.0,142.0,60.0,150.0,119.0,18.0,150.0
14,98,125,74,153,1.4,36.0,141.0,62.0,51.0,56.0,15.0,141.0
12,61,68,40,55,0.9,38.0,74.0,91.0,94.0,22.0,28.0,94.0
11,63,61,31,49,1.0,39.0,71.0,94.0,6.0,26.0,25.0,94.0
8,85,85,41,66,1.2,42.0,148.0,82.0,92.0,17.0,20.0,148.0
9,60,70,36,111,1.1,41.0,75.0,90.0,99.0,91.0,22.0,99.0
8,46,76,49,13,1.3,42.0,92.0,87.0,82.0,44.0,18.0,92.0
8,48,53,25,59,1.3,42.0,90.0,98.0,14.0,20.0,18.0,98.0
9,68,73,32,23,1.2,41.0,65.0,88.0,4.0,38.0,20.0,88.0
12,72,97,49,32,1.3,38.0,60.0,76.0,82.0,34.0,18.0,82.0
11,61,90,50,67,1.1,39.0,74.0,80.0,81.0,16.0,22.0,81.0
9,65,66,36,50,0.9,41.0,69.0,92.0,99.0,25.0,28.0,99.0
10,59,76,43,93,1.1,40.0,76.0,87.0,90.0,4.0,22.0,90.0
9,57,82,46,56,1.2,41.0,79.0,84.0,86.0,22.0,20.0,86.0
9,41,42,16,82,1.0,41.0,99.0,8.0,27.0,9.0,25.0,99.0
13,77,82,46,100,1.1,37.0,54.0,84.0,86.0,100.0,22.0,100.0
16,115,143,82,91,1.4,34.0,132.0,54.0,141.0,4.0,15.0,141.0
12,100,112,80,98,1.2,38.0,140.0,69.0,144.0,1.0,20.0,144.0
12,50,60,39,69,0.7,38.0,88.0,95.0,95.0,16.0,32.0,95.0
13,40,68,43,56,0.7,37.0,100.0,91.0,90.0,22.0,32.0,100.0
9,53,57,38,48,0.6,41.0,84.0,96.0,96.0,26.0,35.0,96.0
12,71,88,55,96,0.7,38.0,61.0,81.0,75.0,2.0,32.0,81.0
12,77,96,69,172,0.9,38.0,54.0,77.0,58.0,139.0,28.0,139.0
11,41,49,20,75,0.6,39.0,99.0,1.0,21.0,12.0,35.0,99.0
10,53,60,35,122,1.1,40.0,84.0,95.0,100.0,82.0,22.0,100.0
12,59,70,36,102,1.1,38.0,76.0,90.0,99.0,98.0,22.0,99.0
10,45,52,23,84,0.9,40.0,94.0,99.0,17.0,8.0,28.0,99.0
11,51,59,33,76,1.0,39.0,86.0,96.0,3.0,12.0,25.0,96.0
12,34,58,35,74,1.0,38.0,8.0,96.0,100.0,13.0,25.0,100.0
9,36,36,13,61,1.1,41.0,5.0,14.0,31.0,20.0,22.0,41.0
12,64,61,32,47,1.2,38.0,70.0,94.0,4.0,26.0,20.0,94.0
11,69,80,47,101,1.1,39.0,64.0,85.0,85.0,99.0,22.0,99.0
10,42,58,34,88,0.7,40.0,98.0,96.0,1.0,6.0,32.0,98.0
9,32,26,11,40,1.1,41.0,10.0,24.0,34.0,30.0,22.0,41.0
12,38,40,24,63,1.0,38.0,2.0,10.0,16.0,18.0,25.0,38.0
10,36,43,25,19,1.0,40.0,5.0,7.0,14.0,40.0,25.0,40.0
9,34,36,21,54,0.9,41.0,8.0,14.0,20.0,23.0,28.0,41.0
7,40,50,32,112,0.9,43.0,100.0,100.0,4.0,90.0,28.0,100.0
8,23,45,31,128,0.8,42.0,21.0,5.0,6.0,77.0,30.0,77.0
8,18,34,24,99,0.7,42.0,28.0,16.0,16.0,0.0,32.0,42.0
8,14,28,19,85,0.6,42.0,32.0,22.0,23.0,8.0,35.0,42.0
8,11,34,23,49,0.9,42.0,36.0,16.0,17.0,26.0,28.0,42.0
7,8,11,6,39,1.0,43.0,40.0,39.0,41.0,30.0,25.0,43.0
7,8,11,5,58,0.7,43.0,40.0,39.0,43.0,21.0,32.0,43.0
7,7,14,7,76,0.6,43.0,41.0,36.0,40.0,12.0,35.0,43.0
7,8,24,17,90,0.6,43.0,40.0,26.0,26.0,5.0,35.0,43.0
8,10,30,23,110,0.5,42.0,38.0,20.0,17.0,92.0,38.0,92.0
10,19,38,29,120,0.5,40.0,26.0,12.0,9.0,83.0,38.0,83.0
9,21,41,30,116,0.5,41.0,24.0,9.0,7.0,87.0,38.0,87.0
10,20,46,32,101,0.5,40.0,25.0,4.0,4.0,99.0,38.0,99.0
8,25,49,42,56,0.6,42.0,19.0,1.0,91.0,22.0,35.0,91.0
5,10,11,6,36,0.6,45.0,38.0,39.0,41.0,32.0,35.0,45.0
6,13,17,11,30,0.7,44.0,34.0,33.0,34.0,35.0,32.0,44.0
6,9,26,15,83,0.5,44.0,39.0,24.0,29.0,8.0,38.0,44.0
6,17,27,21,35,0.7,44.0,29.0,23.0,20.0,32.0,32.0,44.0
6,7,15,8,59,0.6,44.0,41.0,35.0,39.0,20.0,35.0,44.0
6,7,18,13,81,0.6,44.0,41.0,32.0,31.0,10.0,35.0,44.0
8,16,28,22,44,0.7,42.0,30.0,22.0,19.0,28.0,32.0,42.0
6,33,55,48,54,0.8,44.0,9.0,98.0,84.0,23.0,30.0,98.0
7,24,63,56,66,0.8,43.0,20.0,94.0,74.0,17.0,30.0,94.0
6,25,25,23,59,0.7,44.0,19.0,25.0,17.0,20.0,32.0,44.0
6,22,18,12,44,0.6,44.0,22.0,32.0,33.0,28.0,35.0,44.0
5,15,18,12,40,0.7,45.0,31.0,32.0,33.0,30.0,32.0,45.0
5,4,5,3,49,0.7,45.0,45.0,45.0,46.0,26.0,32.0,46.0
5,8,19,9,86,0.6,45.0,40.0,31.0,37.0,7.0,35.0,45.0
6,17,24,15,102,0.5,44.0,29.0,26.0,29.0,98.0,38.0,98.0
6,38,39,28,103,0.6,44.0,2.0,11.0,10.0,98.0,35.0,98.0
7,34,35,26,85,0.6,43.0,8.0,15.0,13.0,8.0,35.0,43.0
6,36,34,22,98,0.6,44.0,5.0,16.0,19.0,1.0,35.0,44.0
8,35,52,41,140,0.8,42.0,6.0,99.0,92.0,67.0,30.0,99.0
8,18,37,26,135,0.6,42.0,28.0,13.0,13.0,71.0,35.0,71.0
8,15,47,25,101,0.6,42.0,31.0,3.0,14.0,99.0,35.0,99.0
8,25,39,23,94,0.6,42.0,19.0,11.0,17.0,3.0,35.0,42.0
7,26,38,21,124,0.7,43.0,18.0,12.0,20.0,80.0,32.0,80.0
6,17,25,17,83,0.6,44.0,29.0,25.0,26.0,8.0,35.0,44.0
6,26,37,23,84,0.7,44.0,18.0,13.0,17.0,8.0,32.0,44.0
7,29,39,25,94,0.7,43.0,14.0,11.0,14.0,3.0,32.0,43.0
8,18,35,22,92,0.7,42.0,28.0,15.0,19.0,4.0,32.0,42.0
8,24,30,18,74,0.7,42.0,20.0,20.0,24.0,13.0,32.0,42.0
6,25,34,18,73,0.6,44.0,19.0,16.0,24.0,14.0,35.0,44.0
5,28,13,10,46,0.7,45.0,15.0,37.0,36.0,27.0,32.0,45.0
6,30,25,14,46,0.8,44.0,12.0,25.0,30.0,27.0,30.0,44.0
6,25,35,23,64,0.6,44.0,19.0,15.0,17.0,18.0,35.0,44.0
6,40,49,27,43,0.5,44.0,100.0,1.0,11.0,28.0,38.0,100.0
5,20,28,15,55,0.4,45.0,25.0,22.0,29.0,22.0,40.0,45.0
5,22,32,15,49,0.5,45.0,22.0,18.0,29.0,26.0,38.0,45.0
5,14,21,11,98,0.7,45.0,32.0,29.0,34.0,1.0,32.0,45.0
7,37,46,28,63,0.6,43.0,4.0,4.0,10.0,18.0,35.0,43.0
5,34,50,25,52,0.6,45.0,8.0,100.0,14.0,24.0,35.0,100.0
4,35,49,28,33,0.7,46.0,6.0,1.0,10.0,34.0,32.0,46.0
4,16,35,20,109,0.7,46.0,30.0,15.0,21.0,92.0,32.0,92.0
6,25,61,38,135,0.6,44.0,19.0,94.0,96.0,71.0,35.0,96.0
5,26,56,27,110,0.5,45.0,18.0,97.0,11.0,92.0,38.0,97.0
6,44,62,29,65,0.5,44.0,95.0,94.0,9.0,18.0,38.0,95.0
